Region,iso3,Country,City/Town,Year,"Annual mean, ug/m3",Temporal coverage,note on converted PM2.5,Number and type of monitoring stations,Reference for air quality,Database version (year),status
Europe (LMIC),ALB,Albania,Tirana,2013,16,NA,Measured,"1 station, traffic, urban","European Environment Agency, Air quality e-reporting database",2016,
Europe (LMIC),ALB,Albania,Vrith,2015,13,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AND,Andorra,Escaldes-Engordany,2017,10,NA,Measured,,"Govern D'Andorra, Ministeri de Medi Ambient, Agricultura i Sostenibilitat",2018,
Western Pacific (HIC),AUS,Australia,Adelaide,2016,7,>75%,Measured,"5 Residential, 2 Residential/Industry",EPA South Australia,2018,
Western Pacific (HIC),AUS,Australia,Brisbane,2016,7,>75%,Measured,7 N.A.,Queensland Government Data,2018,
Western Pacific (HIC),AUS,Australia,Bunbury,2016,8,>75%,Measured,2 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Busselton,2016,8,>75%,Measured,2 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Canberra,2014,7,NA,Measured,NA,ACT Air Quality Reports,2018,
Western Pacific (HIC),AUS,Australia,Central Coast,2014,6,NA,Measured,-,http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf,2016,
Western Pacific (HIC),AUS,Australia,Darwin,2016,6,>75%,Measured,1 Urban,NT-EPA,2018,
Western Pacific (HIC),AUS,Australia,Devonport,2013,6,NA,Measured,-,Environment Protection Authority,2016,
Western Pacific (HIC),AUS,Australia,Gladstone,2016,5,>75%,Measured,5 N.A.,Queensland Government Data,2018,
Western Pacific (HIC),AUS,Australia,Hobart,2013,6,NA,Measured,-,Environment Protection Authority,2016,
Western Pacific (HIC),AUS,Australia,Jondaryan,2016,5,50% -< 75%,Measured,1 N.A.,Queensland Government Data,2018,
Western Pacific (HIC),AUS,Australia,La Trobe Valley,2014,10,NA,Measured,"2 stations, residential, rural",http://www.epa.vic.gov.au/our-work/monitoring-the-environment/monitoring-victorias-air/monitoring-results/~/media/Files/Our%20work/Monitoring%20the%20environment/Monitoring%20Vics%20air/monitoring%20results/2013-data-tables.pdf,2016,
Western Pacific (HIC),AUS,Australia,Launceston,2013,8,NA,Measured,-,Environment Protection Authority,2016,
Western Pacific (HIC),AUS,Australia,Lower Hunter,2014,7,NA,Measured,-,http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf,2016,
Western Pacific (HIC),AUS,Australia,Melbourne,2014,8,NA,Measured,"10 stations, Residential/Light Industry",http://www.epa.vic.gov.au/our-work/monitoring-the-environment/monitoring-victorias-air/monitoring-results/~/media/Files/Our%20work/Monitoring%20the%20environment/Monitoring%20Vics%20air/monitoring%20results/2013-data-tables.pdf,2016,
Western Pacific (HIC),AUS,Australia,Muswellbrook,2016,8,>75%,Measured,1 Population Centre,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Newcastle,2016,8,>75%,Measured,"2 Campaign Site, 3 Non Nepm Site, 1 Trend Site",Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Palmerston,2016,7,>75%,Measured,1 Sub-Urban,,2018,
Western Pacific (HIC),AUS,Australia,Perth,2016,8,>75%,Measured,8 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Singleton,2016,8,>75%,Measured,1 Population Centre,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Sydney,2016,8,>75%,Measured,"2 Campaign Site, 4 Non Nepm Site, 3 Peformance Site, 1 Tend Site, 5 Trend Site",Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Upper Hunter,2014,8,NA,Measured,-,http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf,2016,
