city,entropy,rel_entropy,circuity,avg_degree,intersection_count
"San Francisco, CA, USA",3.527923391,0.050374231,1.104433126,4.902322782,154087
"Sioux City, IA, USA",2.70124904,0.64193604,1.053705449,5.634378722,4245
"Mason City, IA 50401, USA",2.30382631,0.825632465,1.048162692,5.79771615,1034
"Marshalltown, IA 50158, USA",2.150244949,0.8791046,1.036271407,5.994987469,714
"Clinton, IA, USA",2.999828628,0.460912261,1.026264576,5.69107322,824
"Ottumwa, IA 52501, USA",1.948697525,0.934461781,1.01498547,6.131355932,426
"Piedmont, Italy",3.577378669,0.006015794,1.179464168,4.459541363,289427
"Snowmass Village, CO, USA",3.44793127,0.119979086,1.232988886,4.554621849,82
"Milton, ON, Canada",2.934929469,0.503398635,1.199112511,5.591861899,1541
"Lappeenranta, Finland",3.571764253,0.011102539,1.125774223,4.848829431,4485
"Lahti, Finland",3.580104311,0.003541617,1.119040032,4.471109423,10136
"Mikkeli, Finland",3.560235498,0.021506854,1.130787657,4.525144447,5913
"Kouvola, Finland",3.569646946,0.013017462,1.120449562,4.760927018,7106
"Kotka, Finland",3.579961758,0.003671094,1.106480137,4.506798594,22468
"Vaasa, Finland",3.578090105,0.005370291,1.099791917,4.697146364,4542
"Hämeenlinna, Finland",3.579326064,0.004248377,1.112496246,4.574470704,10771
"Oulu, Finland",3.57827681,0.005200854,1.10748408,4.568043442,8086
"Venice, Italy",3.5048277,0.070742858,1.075105277,4.467535111,30252
"Richland, WA, USA",3.005733908,0.456959811,1.070403973,5.201542912,8833
"Knoxville, TN, USA",3.488309808,0.085174932,1.073174036,5.066477826,8677
"East Lansing, MI, USA",3.080682628,0.405541722,1.073720885,5.047682119,49253
"Fort Dodge, IA 50501, USA",2.696392785,0.644575296,1.051896128,5.820097245,1076
"Muscatine, IA 52761, USA",3.128862162,0.371260557,1.049935632,5.399820305,871
"Eugene, OR, USA",3.141651456,0.361999196,1.166306084,4.993360394,99515
"Orlando, FL, USA",3.124672434,0.374279821,1.117758097,4.875595609,60782
"Klawock, AK 99925, USA",3.497162317,0.07745433,1.116159059,4.593837535,445
"Aspen, CO 81611, USA",3.479472219,0.092850161,1.199028303,4.721542455,3683
"Cedar Rapids, IA, USA",2.87290617,0.542372883,1.059503459,5.392599278,5476
"Simi Valley, CA, USA",3.054872875,0.423510853,1.084684749,4.776297001,2893
"Tucson, AZ, USA",3.060099531,0.419894246,1.078108761,5.005491762,33910
"El Monte, CA, USA",3.290304231,0.249384914,1.026034099,5.090909091,1421
"Albany, OR, USA",3.027295498,0.442405886,1.081818617,5.111673106,63914
"Vail, CO 81657, USA",3.520236619,0.05717789,1.111522287,4.357366771,232
"Denver, CO, USA",3.240294027,0.288292041,1.131836129,5.033261416,148125
"London, UK",3.507745859,0.068181453,1.04474869,4.657413249,1308
"Boise, ID, USA",3.002699482,0.458992579,1.095070658,5.163329737,18932
"Vienna, Austria",3.539926483,0.039701223,1.0518819,4.621320673,19883
"New York, NY, USA",3.546529312,0.033804636,1.07011589,5.132540028,309263
"Tallahassee, FL, USA",3.162563217,0.346710082,1.083978188,4.855495329,7009
"Washington, DC, USA",3.562983795,0.019031603,1.086044941,4.786197961,97218
"Seattle, WA, USA",3.029074162,0.441196707,1.090959275,4.845915728,115491
"Yakima, WA, USA",2.668242888,0.659681764,1.085849939,5.261346781,5037
"Gwinnett County, GA, USA",3.539486928,0.040093122,1.105717679,4.602080185,39209
"Monterey, CA, USA",3.502540243,0.072748201,1.118549958,4.901470891,47269
"Norwalk, CA, USA",3.274834453,0.261530751,1.053149802,5.053941052,15123
"Bari, Italy",3.524802918,0.053139151,1.060238188,4.710067814,17440
"Miskolc, Hungary",3.526713931,0.051446361,1.077447666,5.094883497,3382
"Aachen, Germany",3.576402585,0.006901078,1.077640336,4.800667612,298167
"Grand Forks, ND, USA",2.522182096,0.732797506,1.052700989,5.834222007,1862
"Fargo, ND, USA",2.59346062,0.698219916,1.060295734,5.541000878,5102
"Racine, WI, USA",2.718800799,0.632315677,1.046137485,5.407962529,3686
"London, ON, Canada",3.177544216,0.335645798,1.123969184,5.307540586,5533
"Regina, SK, Canada",2.741547709,0.619658042,1.113773014,5.711446589,4812
"Moncton, NB, Canada",3.279794196,0.257647482,1.085964786,5.379310345,3256
"Gatineau, QC, Canada",3.420792862,0.142991687,1.133407849,5.158659721,13478
"Sherbrooke, QC, Canada",3.285324021,0.253305856,1.105150851,5.132624769,3690
"St Petersburg, Russia",3.568957958,0.013640192,1.060330586,4.965839857,48697
"Oakland, CA, USA",3.531883027,0.046859961,1.097019611,4.906406258,114103
"Yamanashi Prefecture, Japan",3.558837933,0.022764371,1.158324993,5.651211759,85206
"Prague, Czechia",3.579523225,0.00406935,1.098884155,4.937277837,345410
"Mornington Peninsula, VIC, Australia",3.511105013,0.065228602,1.070596578,4.319018405,256
"Córdoba, Cordoba, Argentina",3.310502873,0.233377165,1.043047098,5.631566008,33999
"Chiang Mai, Mueang Chiang Mai District, Chiang Mai, Thailand",3.523853795,0.053979329,1.095224619,4.893540804,1029161
"Magnetic Island, Queensland, Australia",3.456273078,0.112844207,1.109349375,4.384976526,125
"Ventura County, CA, USA",3.399330102,0.160975587,1.106291211,4.93952453,26080
"Pacific County, WA, USA",3.046527168,0.429262255,1.141459621,4.923076923,2808
"Dublin, Ireland",3.569750863,0.012923521,1.077358024,4.366909332,29857
"Lincoln, NE, USA",2.763736082,0.607104831,1.044093778,5.239892183,9820
"Kingston, ON, Canada",3.292935329,0.247309294,1.122122453,5.260547742,2308
"Windsor, ON, Canada",3.144046049,0.360257627,1.054898139,5.238838674,6354
"Bagé, RS, Brazil",3.419587189,0.14400699,1.020339646,6.150636492,2531
"Rochester, MN, USA",3.003360243,0.458550259,1.057967601,5.239986461,56324
"Bakersfield, CA, USA",3.200303344,0.318659153,1.079013947,5.197707736,167895
"Bend, OR, USA",3.019728363,0.44753557,1.161850869,5.187492708,39222
"Emeryville, CA, USA",2.952443006,0.492105137,1.020204916,5.139037433,703
"Cabarrus County, NC, USA",3.56268043,0.019304982,1.073965339,4.893802187,6301
"Klamath Falls, OR, USA",3.284281491,0.254125344,1.123267748,5.09935698,3512
"Missoula, MT, USA",2.910437985,0.518978877,1.0720844,5.391958345,2729
"Waltham, MA, USA",3.577351803,0.006040166,1.072326075,5.142138365,10706
"Beloit, WI 53511, USA",2.862697895,0.548634942,1.045692094,5.697607152,3299
"Clackamas County, OR, USA",3.456129472,0.112967279,1.075181361,4.912621359,4785
"Santa Maria, CA, USA",3.136545701,0.365704646,1.138223512,5.159494855,6602
"Duarte, CA, USA",2.735804648,0.622874011,1.079698921,4.667481663,623
"Portland, OR, USA",3.106118059,0.387563403,1.123559464,5.019576219,88533
"Monterey Park, CA, USA",3.197953607,0.320422844,1.045448999,5.226812159,1061
